2023-11-21 16:30:26.433026,0.98438406,happy
timestamp,Intensity,emotion
2023-11-21 16:30:27.719361,0.50420815,sad
timestamp,Intensity,emotion
2023-11-21 16:30:28.913818,0.8856129,happy
timestamp,Intensity,emotion
2023-11-21 16:30:30.088412,0.95625365,happy
timestamp,Intensity,emotion
2023-11-21 16:30:31.301433,0.98032665,happy
timestamp,Intensity,emotion
2023-11-21 16:30:32.488267,0.99571085,happy
timestamp,Intensity,emotion
2023-11-21 16:30:33.686831,0.9953679,happy
timestamp,Intensity,emotion
2023-11-21 16:30:34.894479,0.9972063,happy
timestamp,Intensity,emotion
2023-11-21 16:30:36.083815,0.99785304,happy
timestamp,Intensity,emotion
2023-11-21 16:30:37.276742,0.9259115,happy
timestamp,Intensity,emotion
2023-11-21 16:30:38.465851,0.9922758,happy
timestamp,Intensity,emotion
2023-11-21 16:30:39.585936,0.4800537,sad
timestamp,Intensity,emotion
2023-11-21 16:30:40.784562,0.9766401,happy
timestamp,Intensity,emotion
2023-11-21 16:30:41.976668,0.9940462,happy
timestamp,Intensity,emotion
2023-11-21 16:30:43.176256,0.8885041,happy
timestamp,Intensity,emotion
2023-11-21 16:30:44.304748,0.99988365,happy
timestamp,Intensity,emotion
2023-11-21 16:30:45.533295,0.61292595,happy
timestamp,Intensity,emotion
2023-11-21 16:30:46.729758,0.8314405,happy
timestamp,Intensity,emotion
2023-11-21 16:30:48.007046,0.74829245,happy
timestamp,Intensity,emotion
2023-11-21 16:30:49.310205,0.6968502,sad
timestamp,Intensity,emotion
2023-11-21 16:30:50.492912,0.46773437,happy
timestamp,Intensity,emotion
2023-11-21 16:31:07.926416,0.807456,happy
timestamp,Intensity,emotion
2023-11-21 16:31:09.181219,0.8857056,sad
timestamp,Intensity,emotion
2023-11-21 16:31:10.360335,0.7049471,sad
timestamp,Intensity,emotion
2023-11-21 16:31:11.599050,0.60645,sad
timestamp,Intensity,emotion
2023-11-21 16:31:12.786431,0.9816248,happy
timestamp,Intensity,emotion
2023-11-21 16:31:13.967164,0.9312256,happy
timestamp,Intensity,emotion
2023-11-21 16:31:15.171488,0.98331416,happy
timestamp,Intensity,emotion
2023-11-21 16:31:16.361996,0.7639159,happy
timestamp,Intensity,emotion
2023-11-21 16:31:17.548476,0.6800671,sad
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
timestamp,Intensity,emotion
